Web_ID,Region_of_Incident,Reported_Date,Reported_Year,Reported_Month,Number_Dead,Minimum_Estimated_Number_of_Missing,Total_Dead_and_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Location_Description,Information_Source,Latitude,Longitude ,Migration_Route,URL,UNSD_Geographical_Grouping,Source_Quality
44632,US-Mexico Border,"January 24, 2018",2018,Jan,1,0,1,0,0,1,0,Unknown (skeletal remains),"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,32.3311328,-111.4917742,Central America to US,http://www.humaneborders.info/app/map.asp,Northern America,5
50856,North Africa,"January 24, 2018",2018,Jan,4,0,4,0,2,1,2,"Dehydration, Harsh weather/lack of adequate shelter, Suffocation, Excessive Physical Abuse","Sahara desert, Sudan, near the border with Egypt",Mixed Migration Monitoring Mechanism Initiative (4mi),21.943709,27.672666,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
50857,North Africa,"January 24, 2018",2018,Jan,1,0,1,0,1,0,1,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter","Sahara desert, Ash Shamaliyah, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),20.610678,27.916851,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
50858,Sub-Saharan Africa,"January 24, 2018",2018,Jan,1,0,1,0,0,1,0,Sickness and lack of access to medicines,"Gao, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),16.305456,-0.08823,Unknown,http://www.mixedmigration.org/4mi/,Western Africa,2
50854,North Africa,"January 23, 2018",2018,Jan,1,0,1,0,1,0,0,"Harsh weather/lack of adequate shelter, Suffocation","Sahara desert near Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),18.07428,34.434548,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
50855,Sub-Saharan Africa,"January 23, 2018",2018,Jan,1,0,1,0,1,0,0,"Suffocation, Excessive Physical Abuse, Sexual abuse","Kantchari, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4mi),12.486464,1.513367,Unknown,http://www.mixedmigration.org/4mi/,Western Africa,2
44107,Middle East,"January 23, 2018",2018,Jan,1,0,1,0,1,0,0,Unknown,"Near Masna'a border crossing, Lebanon, near border with Syria","The Daily Star, Al Bawaba, Al-Mustaqbal",33.70551689,35.96589244,Unknown,"http://bit.ly/2DzRO6n, http://bit.ly/2DAzni1, http://bit.ly/2n3nnv2",Western Asia,3
44108,US-Mexico Border,"January 23, 2018",2018,Jan,1,0,1,0,1,0,0,Drowning,"Río Bravo, Colonia Hidalgo, Nuevo Laredo, Tamaulipas, Mexico","Hoy Tamaulipas, El Debate, La Opinión, Prensa Libre",27.49648732,-99.52560699,Central America to US,"http://bit.ly/2Br7XF6, http://bit.ly/2GbG2g0, http://bit.ly/2BpqUrL, http://bit.ly/2GhNfLN",Central America,3
44109,Mediterranean,"January 23, 2018",2018,Jan,3,0,3,57,0,0,0,Presumed drowning,"Off the coast of Nador, Morocco","Caminando Fronteras, EFE",35.35923628,-2.644685651,Western Mediterranean,"http://bit.ly/2BpaHD2, http://bit.ly/2DxbJi5",Uncategorized,4
44110,Mediterranean,"January 23, 2018",2018,Jan,0,1,1,0,1,0,1,Presumed drowning,"Off the coast of Aïn El Turk, Oran, Algeria","Le Quotidien, Radio Algérienne, Algerie Presse Service",35.80577434,-0.803585382,Western Mediterranean,"http://bit.ly/2DyQaO8, http://bit.ly/2rGkCEC, http://bit.ly/2n8yhPU, http://bit.ly/2FeKUj3, http://bit.ly/2DEaySe",Uncategorized,4
